run_id,condition,repeat_index,status,identity,object,style,environment,hallucination,notes
5,"Baseline - Detailed Biological, Detailed Background, No Interaction",0,failed,,,,,,
6,"Baseline - Detailed Biological, Detailed Background, No Interaction",1,failed,,,,,,
7,"Baseline - Detailed Biological, Detailed Background, No Interaction",2,failed,,,,,,
8,"General Stone Interaction - Hand with General Stone, Detailed Background",0,failed,,,,,,
9,"General Stone Interaction - Hand with General Stone, Detailed Background",1,failed,,,,,,
10,"General Stone Interaction - Hand with General Stone, Detailed Background",2,failed,,,,,,
11,"Specific Stone Realism - Hand with Detailed Stone, Detailed Background",0,failed,,,,,,
12,"Specific Stone Realism - Hand with Detailed Stone, Detailed Background",1,failed,,,,,,
13,"Specific Stone Realism - Hand with Detailed Stone, Detailed Background",2,failed,,,,,,
14,"Specific Stone & Biological Realism - Hand with Detailed Stone, Detailed Hand, Detailed Background",0,failed,,,,,,
15,"Specific Stone & Biological Realism - Hand with Detailed Stone, Detailed Hand, Detailed Background",1,failed,,,,,,
16,"Specific Stone & Biological Realism - Hand with Detailed Stone, Detailed Hand, Detailed Background",2,failed,,,,,,
17,"Specific Stone & Biological Realism, Minimal Background",0,failed,,,,,,
18,"Specific Stone & Biological Realism, Minimal Background",1,failed,,,,,,
19,"Specific Stone & Biological Realism, Minimal Background",2,failed,,,,,,
